Distance (km),Elevation (m)
7.762559071054004,639.0
7.778180362449827,633.0
7.796888892471175,624.0
7.821513752945232,622.0
7.847323791848755,619.0
7.868723752150819,624.0
7.8802022963367495,613.0
7.905224130257798,600.0
7.9306342089197805,587.0
7.955843867941557,569.0
7.981715132082858,563.0
8.007618739083396,554.0
8.032421580214221,544.0
8.057404430982505,534.0
8.08291712372648,521.0
8.108654838021826,516.0
8.133475786932365,513.0
8.159672348249007,510.0
8.184179355851056,505.0
8.208650253038497,499.0
8.233585382881497,494.0
8.260951507053893,483.0
8.277307728138718,482.0
8.298411872323877,477.0
8.31753865141139,472.0
8.342988512751194,467.0
8.366588862486568,464.0
8.391162803965226,460.0
8.416050673489178,458.0
8.44018709276991,449.0
8.463990389419418,447.0
8.491459286876387,443.0
8.515979415542526,438.0
8.54104835376588,436.0
8.565950218273864,431.0
8.589970646228577,432.0
8.604754733029818,433.0
8.631858125226396,435.0
8.64934269139085,429.0
8.662180511485367,428.0
8.68653203949486,421.0
8.712974409564879,421.0
8.720154912018046,417.0
8.733320741587313,412.0
8.733320741587313,412.0
8.75540827242497,410.0
8.780110177107685,411.0
8.79097031906244,410.0
8.81554993745099,405.0
8.840272916981533,400.0
8.863586401764021,398.0
8.88783940831734,395.0
8.91210190071329,393.0
8.93707999849403,389.0
8.960942720322526,387.0
8.985477858788464,387.0
9.01201783098093,382.0
9.036128440117892,379.0
9.062304860985101,374.0
9.08670620740298,372.0
9.111601387096837,373.0
9.13693139128496,369.0
9.16170799476422,367.0
9.187382933880949,365.0
9.212791858130027,363.0
9.239182742213254,361.0
9.263850212104472,359.0
9.289431608200893,357.0
9.313670749169752,354.0
9.33929840528985,352.0
9.365493805342902,350.0
9.391359593575228,347.0
9.415908571668764,345.0
9.440172157667734,343.0
9.46515524195808,342.0
9.490613367581695,340.0
9.514313109091558,338.0
9.53897891037057,337.0
9.564425199800809,335.0
9.590821002201675,333.0
9.612837762283535,332.0
9.633893248980243,331.0
9.662384337947984,329.0
9.688523019266318,329.0
9.71547797071935,327.0
9.738689800086233,325.0
9.761755525375744,324.0
